15.995,20.303,34.365,-39.291,92.523,63.062,72.34,61.275,55.557,62.28,54.614,49.39,48.53,49.08,50.186,6.2956,31.697,22.332,15.995
15.301,20.106,34.127,-40.922,90.107,61.079,72.512,61.685,49.796,60.511,51.829,47.665,47.301,48.101,49.363,3.8068,32.465,20.339,15.301
14.646,19.915,33.885,-42.465,88.209,58.68,72.005,62.429,47.578,58.267,49.363,46.109,46.154,47.17,48.577,3.4071,33.102,18.459,14.646
8.2231,19.727,33.633,-43.927,86.685,56.371,71.915,64.109,46.929,55.865,47.174,44.69,45.075,46.281,47.826,3.9638,33.641,16.716,8.2231
7.127,19.543,33.375,-45.312,85.442,54.135,71.873,73.583,46.238,53.468,45.216,43.383,44.058,45.432,47.112,4.9056,34.101,15.085,7.127
6.3745,19.363,33.11,-46.628,84.417,51.959,71.863,60.327,45.116,51.132,43.453,42.17,43.093,44.621,46.423,5.9742,34.498,13.563,6.3745
5.7684,19.185,32.832,-47.879,83.564,49.834,71.884,51.269,43.604,48.905,41.855,41.035,42.177,43.842,45.765,7.0572,34.844,12.136,5.7684
5.2496,19.009,32.548,-49.069,82.851,47.748,71.932,38.187,49.477,46.805,40.394,39.97,41.305,43.095,45.15,8.1073,35.146,10.799,5.2496
4.7907,18.835,32.254,-50.204,82.252,45.696,72.011,13.766,50.408,44.826,39.045,38.963,40.47,42.378,44.568,9.1063,35.411,9.5546,4.7907
4.3805,18.663,31.946,-51.287,81.749,43.669,72.125,22.251,50.19,42.982,37.797,38.01,39.672,41.688,44.014,10.449,35.645,8.3758,4.3805
4.0071,18.491,31.63,-52.322,81.325,41.663,72.281,53.918,49.518,41.252,36.63,37.104,38.907,41.026,43.518,11.756,35.852,7.2803,4.0071
3.6661,18.32,31.304,-53.313,80.97,39.672,72.495,-86.75,48.588,39.632,35.536,36.24,38.174,40.387,43.048,12.887,36.036,6.2434,3.6661
3.3504,18.15,30.958,-54.262,80.673,37.691,72.8,81.256,47.517,38.117,34.505,35.414,37.468,39.776,42.65,13.886,36.199,5.2657,3.3504
3.0569,17.979,30.604,-55.172,80.426,35.716,73.323,53.891,46.338,36.697,33.529,34.623,36.79,39.184,42.363,14.783,28.31,4.3427,3.0569
2.7825,17.808,30.232,-56.046,79.77,33.743,75.507,-86.153,45.109,35.358,32.601,33.865,36.135,38.617,-16.993,15.598,24.26,3.468,2.7825
2.5259,17.637,29.847,-56.887,79.108,31.768,75.939,61.438,43.84,34.098,31.717,33.136,35.504,38.073,-15.865,16.347,21.609,2.6508,2.5259
2.2851,17.463,29.442,-57.696,78.552,29.788,76.726,29.419,42.559,32.908,30.873,32.435,34.896,37.549,-14.742,17.042,19.223,1.8751,2.2851
2.0565,17.288,29.024,-58.476,78.082,27.8,55.232,31.09,41.269,31.783,30.064,31.759,34.31,37.047,-13.635,17.689,17.003,1.1346,2.0565
1.8421,17.111,28.575,-59.229,77.682,83.788,53.088,31.726,39.993,30.713,29.287,31.108,33.744,36.567,-12.55,18.297,14.959,0.43128,1.8421
1.636,16.931,28.109,-59.956,77.343,84.056,46.178,31.841,38.727,29.696,28.54,30.479,33.198,36.11,-11.198,18.871,12.997,-0.23685,1.636
1.4409,16.748,27.614,-60.658,77.053,84.237,32.657,31.613,37.482,28.723,27.821,29.871,32.67,35.669,-9.7949,19.415,11.155,-0.87194,1.4409
