16.3,16.506,27.988,38.029,-39.291,-79.179,72.479,57.198,72.347,61.804,81.974,51.15,60.969,56.217,50.888,48.923,48.664,49.144,50.037,51.392,6.2956,23.696,42.891,20.207,0
15.572,16.263,27.671,37.568,-40.922,-81.473,71.044,54.51,72.517,62.388,68.439,49.48,59.337,53.278,48.743,47.387,47.451,48.13,49.165,50.671,3.8068,25.169,43.052,18.468,0
14.882,16.031,27.332,37.077,-42.465,-83.311,69.759,51.838,72.13,64.895,56.525,48.565,57.162,50.625,46.846,45.984,46.315,47.17,48.333,49.997,3.4071,26.357,43.171,16.867,0
14.232,15.807,26.954,36.537,-43.927,-84.81,68.599,49.177,72.038,65.323,25.092,47.292,54.807,48.239,45.149,44.69,45.249,46.257,47.538,49.378,3.9638,27.314,43.253,15.375,0
13.614,15.593,26.518,35.956,-45.312,-86.05,67.546,46.52,72,66.056,20.493,45.591,52.44,46.095,43.614,43.488,44.241,45.387,46.779,48.833,4.9056,28.111,43.303,13.996,0
7.708,15.386,25.965,35.321,-46.628,-87.086,66.584,43.86,71.997,90.282,21.993,52.443,50.139,44.161,42.21,42.363,43.288,44.558,46.053,-11.65,5.9742,28.792,43.327,12.714,0
6.7232,15.186,23.223,34.624,-47.879,-87.959,65.703,41.192,72.024,77.054,51.407,52.344,47.944,42.408,40.916,41.305,42.382,43.765,45.359,-13.421,7.0572,29.382,43.328,11.519,0
6.0288,14.992,23.013,33.848,-49.069,-88.7,64.891,38.512,72.082,53.29,42.496,51.503,45.874,40.81,39.713,40.306,41.519,43.006,44.694,-13.993,8.1073,29.901,43.309,10.41,0
5.4528,14.804,22.806,32.977,-50.204,-89.331,64.141,80.664,72.172,52.146,37.819,50.332,43.93,39.345,38.588,39.36,40.695,42.277,44.058,-13.852,9.1063,30.362,26.149,9.3647,0
4.9582,14.621,22.602,31.985,-51.287,-89.871,63.445,80.951,72.3,42.989,38.807,48.984,42.111,37.992,37.529,38.46,39.907,41.578,43.451,-13.285,10.449,30.775,22.854,8.3839,0
4.5179,14.442,22.399,30.825,-52.322,92.807,62.285,81.137,72.475,24.723,38.877,47.533,40.409,36.736,36.529,37.602,39.152,40.907,42.873,-12.469,11.756,31.147,20.164,7.4671,0
4.1209,14.267,22.196,29.417,-53.313,92.409,60.95,81.277,72.719,7.3528,38.399,46.037,38.821,35.563,35.581,36.782,38.427,40.262,42.321,-11.516,12.887,31.484,17.831,6.6037,0
3.7602,14.096,21.993,27.56,-54.262,92.067,59.745,81.39,73.085,37.036,37.546,44.521,37.333,34.461,34.68,35.998,37.732,39.642,41.799,-10.492,13.886,31.792,15.692,5.7889,0
3.4269,13.928,21.789,24.411,-55.172,91.689,58.648,81.487,75.255,71.571,36.424,43.013,35.934,33.422,33.819,35.245,37.062,39.048,41.306,-9.4394,14.783,32.075,13.749,5.0188,0
3.118,13.763,21.584,-20.573,-56.046,91.013,57.64,81.572,75.598,-70.552,35.125,41.527,34.623,32.439,32.996,34.523,36.418,38.472,40.844,-8.3842,15.598,32.335,11.908,4.2957,0
2.8301,13.6,21.378,-21.99,-56.887,90.44,56.708,81.649,76.124,85.636,38.424,40.076,33.388,31.504,32.208,33.828,35.797,37.921,40.415,-7.3416,16.347,32.577,10.231,3.6099,0
2.5614,13.44,21.171,-23.378,-57.696,89.951,55.842,81.721,54.283,-57.222,40.321,38.656,32.222,30.614,31.451,33.158,35.198,37.391,40.026,-6.2954,17.042,32.801,8.6179,2.9549,0
2.3083,13.282,20.96,-24.74,-58.476,89.53,55.034,81.79,55.232,79.212,40.533,37.276,31.115,29.761,30.723,32.513,34.622,36.882,39.707,-4.8667,17.689,33.01,7.1409,2.3389,0
